Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF
1,PCC,ALL,037 Ngamwongwan,Paradorn,37,,,2,,1,0,,146.90,11,,1,,,,14.77,13.77,1,,,,,,,17.09,17.09,,,,,,,,24.24,16.24,5,,1,,,,,15.59,13.59,2,,,,,,,13.88,13.88,,,,,,,,21.48,18.48,3,,,,,,,19.26,19.26,,,,,,,,20.59,20.59,,,,,,,
2,PCC,ALL,162 Kamonjitvaree,Kritawat,162,,,8,,1,0,,158.17,5,,,,,,17.41,16.41,1,,,,,,,16.89,15.89,1,,,,,,,16.23,15.23,1,,,,,,,18.60,17.60,1,,,,,,,14.25,14.25,,,,,,,,18.03,18.03,,,,,,,,34.70,33.70,1,,,,,,,22.06,22.06,,,,,,,
3,CO,ALL,097 Bhumidist,Teerawit,97,,,6,,1,0,,158.62,13,,,,,,15.09,15.09,,,,,,,,15.99,15.99,,,,,,,,21.26,18.26,3,,,,,,,22.67,21.67,1,,,,,,,16.07,16.07,,,,,,,,17.49,16.49,1,,,,,,,23.82,23.82,,,,,,,,26.23,18.23,8,,,,,,
4,PCC,ALL,046 Uttanam,Anuchit,46,,,3,,1,0,Law Enforcement,162.61,15,1,1,,,,18.28,18.28,,,,,,,,15.15,15.15,,,,,,,,25.36,16.36,4,1,,,,,,27.80,15.80,9,,1,,,,,14.66,14.66,,,,,,,,21.37,21.37,,,,,,,,18.28,18.28,,,,,,,,21.71,19.71,2,,,,,,
5,PCC,ALL,038 Deewajin,Anurak,38,,,2,,1,0,,168.22,18,,,,,,15.07,15.07,,,,,,,,15.99,13.99,2,,,,,,,15.96,14.96,1,,,,,,,14.37,14.37,,,,,,,,12.02,12.02,,,,,,,,34.40,30.40,4,,,,,,,31.60,31.60,,,,,,,,28.81,17.81,11,,,,,,
6,SPD,ALL,178 Wangmee,Aek,178,,,10,,1,0,,175.71,21,,,,,,19.57,17.57,2,,,,,,,17.71,17.71,,,,,,,,30.66,17.66,13,,,,,,,21.07,20.07,1,,,,,,,15.35,15.35,,,,,,,,19.73,19.73,,,,,,,,29.81,29.81,,,,,,,,21.81,16.81,5,,,,,,
7,SSP,MA,136 Pruek-amnuai,Phuriphat,136,,,8,,1,0,,176.49,20,1,,,,,16.82,15.82,1,,,,,,,20.67,18.67,2,,,,,,,23.46,15.46,3,1,,,,,,21.59,17.59,4,,,,,,,14.37,14.37,,,,,,,,22.62,18.62,4,,,,,,,23.11,23.11,,,,,,,,33.85,27.85,6,,,,,,
8,CO,ALL,065 Kunlasetthawat,Tanakom,65,,,6,,1,0,,181.60,23,,,,,,18.98,18.98,,,,,,,,27.69,21.69,6,,,,,,,32.86,18.86,14,,,,,,,18.60,17.60,1,,,,,,,16.24,15.24,1,,,,,,,18.86,18.86,,,,,,,,24.62,23.62,1,,,,,,,23.75,23.75,,,,,,,
9,SSP,MA,183 Janevarakul,Theeradej,183,,,11,,1,0,,182.34,24,,,,,,16.57,16.57,,,,,,,,17.45,17.45,,,,,,,,25.71,17.71,8,,,,,,,18.92,16.92,2,,,,,,,14.13,14.13,,,,,,,,19.40,18.40,1,,,,,,,30.36,29.36,1,,,,,,,39.80,27.80,12,,,,,,
10,ESP,NV,071 Nokthaisong,Nathawat,71,,,4,,1,0,Junior,184.43,29,,,,,,17.46,16.46,1,,,,,,,16.91,16.91,,,,,,,,24.85,16.85,8,,,,,,,18.49,18.49,,,,,,,,14.53,13.53,1,,,,,,,21.83,17.83,4,,,,,,,28.42,24.42,4,,,,,,,41.94,30.94,11,,,,,,
