Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 String 2,Stage 7 String 3,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF,Stage 9 Time,Stage 9 String 1,Stage 9 PD,Stage 9 Hits on Non-Threat,Stage 9 Procedural Error,Stage 9 Failure to Do Right,Stage 9 Flagrant,Stage 9 Finger PE,Stage 9 DNF,Stage 10 Time,Stage 10 String 1,Stage 10 PD,Stage 10 Hits on Non-Threat,Stage 10 Procedural Error,Stage 10 Failure to Do Right,Stage 10 Flagrant,Stage 10 Finger PE,Stage 10 DNF
1,CO,MA,060 Amnuaychai,Chaitiphum(Pol.Col.),TH572295,,,7,,1,0,Law Enforcement,139.97,2,,,,,,13.47,13.47,,,,,,,,14.90,14.90,,,,,,,,10.39,10.39,,,,,,,,9.00,9.00,,,,,,,,13.79,13.79,,,,,,,,14.63,14.63,,,,,,,,17.19,7.37,4.12,5.70,,,,,,,,12.95,12.95,,,,,,,,17.59,16.59,1,,,,,,,16.06,15.06,1,,,,,,
2,ESP,EX,020 Pimnoi,Chatchaphon,,,,2,,1,0,,179.71,15,,,,,,15.65,15.65,,,,,,,,19.73,18.73,1,,,,,,,16.11,14.11,2,,,,,,,16.52,14.52,2,,,,,,,19.09,17.09,2,,,,,,,17.85,15.85,2,,,,,,,16.83,6.82,3.80,5.21,1,,,,,,,15.44,15.44,,,,,,,,23.07,20.07,3,,,,,,,19.42,17.42,2,,,,,,
3,CO,SS,053 MOLEE,JAKNARIN,TH1019348,,,6,,1,0,,188.74,2,,,,,,18.43,18.43,,,,,,,,22.53,22.53,,,,,,,,13.96,13.96,,,,,,,,13.18,13.18,,,,,,,,19.43,19.43,,,,,,,,20.08,20.08,,,,,,,,18.50,7.44,4.25,6.81,,,,,,,,16.04,16.04,,,,,,,,22.80,21.80,1,,,,,,,23.79,22.79,1,,,,,,
4,CCP,MA,004 Uraisint,Sirawit,,,,1,,1,0,,189.32,11,,1,,,,15.72,15.72,,,,,,,,27.79,27.79,,,,,,,,19.86,15.86,4,,,,,,,10.39,10.39,,,,,,,,16.51,16.51,,,,,,,,23.23,20.23,,,1,,,,,20.05,8.98,4.21,4.86,2,,,,,,,15.84,15.84,,,,,,,,21.62,18.62,3,,,,,,,18.31,16.31,2,,,,,,
5,ESP,SS,046 Kasornsukon,Visut,,,,5,,1,0,,194.94,12,,,,,,17.57,16.57,1,,,,,,,20.86,20.86,,,,,,,,19.87,18.87,1,,,,,,,11.24,11.24,,,,,,,,16.35,15.35,1,,,,,,,21.07,19.07,2,,,,,,,23.26,9.78,4.71,6.77,2,,,,,,,15.23,15.23,,,,,,,,27.65,24.65,3,,,,,,,21.84,19.84,2,,,,,,
6,CO,MM,049 Chen,Yang,,,,5,,1,0,,196.04,33,,,,,,16.85,16.85,,,,,,,,23.65,19.65,4,,,,,,,14.63,13.63,1,,,,,,,10.82,9.82,1,,,,,,,29.56,16.56,13,,,,,,,18.26,16.26,2,,,,,,,23.19,5.93,4.31,6.95,6,,,,,,,17.71,17.71,,,,,,,,21.45,18.45,3,,,,,,,19.92,16.92,3,,,,,,
7,SSP,EX,045 Patcharoen,Nattkit,TH1013742,,,5,,1,0,Senior,198.67,11,,1,,,1,20.04,17.04,,,1,,,,,24.79,23.79,1,,,,,,,15.19,14.19,1,,,,,,,15.07,13.07,2,,,,,,,16.94,15.94,1,,,,,,,25.24,21.24,1,,,,,1,,23.94,9.49,5.14,7.31,2,,,,,,,15.46,15.46,,,,,,,,23.74,21.74,2,,,,,,,18.26,17.26,1,,,,,,
8,CO,SS,003 Pinyosri,Chatchai,,,,1,,1,0,Law Enforcement,200.53,17,,1,,,,16.98,16.98,,,,,,,,23.46,23.46,,,,,,,,14.08,14.08,,,,,,,,10.51,10.51,,,,,,,,36.90,23.90,10,,1,,,,,16.90,16.90,,,,,,,,29.90,9.26,5.35,9.29,6,,,,,,,16.23,16.23,,,,,,,,18.79,17.79,1,,,,,,,16.78,16.78,,,,,,,
9,SSP,SS,059 Deeprasert,Annop,,,,6,,1,0,,205.10,29,1,,,,,21.77,18.77,3,,,,,,,22.58,21.58,1,,,,,,,16.80,14.80,2,,,,,,,14.61,12.61,2,,,,,,,16.55,14.55,2,,,,,,,25.76,21.76,4,,,,,,,24.39,7.80,4.82,5.77,6,,,,,,,12.94,12.94,,,,,,,,21.43,19.43,2,,,,,,,28.27,16.27,7,1,,,,,
10,CCP,EX,086 Sodsoy,Nutthapong,TH431698,,,10,,1,0,Military,211.80,23,1,,,,,17.11,17.11,,,,,,,,18.33,18.33,,,,,,,,15.31,14.31,1,,,,,,,20.26,14.26,6,,,,,,,28.88,27.88,1,,,,,,,20.97,18.97,2,,,,,,,27.02,10.05,5.09,6.88,5,,,,,,,21.82,16.82,,1,,,,,,20.40,18.40,2,,,,,,,21.70,15.70,6,,,,,,
11,CO,SS,102 Pansiri,Montree,TH981230,,,3,,1,0,,212.73,29,,1,,,,17.41,17.41,,,,,,,,22.99,19.99,,,1,,,,,16.12,16.12,,,,,,,,12.46,11.46,1,,,,,,,16.35,16.35,,,,,,,,16.61,16.61,,,,,,,,28.40,10.43,4.95,8.02,5,,,,,,,16.26,16.26,,,,,,,,22.10,20.10,2,,,,,,,44.03,23.03,21,,,,,,
