Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF
1,CO,UN,140 Kotthanu,Yodsapol,,,,8,,1,0,Senior,134.88,8,,1,,,,21.41,20.41,1,,,,,,,22.25,21.25,1,,,,,,,27.92,22.92,2,,1,,,,,23.29,20.29,3,,,,,,,17.51,17.51,,,,,,,,22.50,21.50,1,,,,,,
2,SSP,SS,135 Ratklao,Suriya,,,,7,,1,0,Law Enforcement,176.75,43,1,,,,,20.68,19.68,1,,,,,,,40.06,25.06,10,1,,,,,,38.89,23.89,15,,,,,,,29.76,20.76,9,,,,,,,19.33,19.33,,,,,,,,28.03,20.03,8,,,,,,
dnf,PCC,NV,141 Muanthong,Nutthawat,,,,8,,0,1,Law Enforcement,83.00,2,,,,,,,,,,,,,,1,18.46,18.46,,,,,,,,21.32,21.32,,,,,,,,24.09,22.09,2,,,,,,,19.13,19.13,,,,,,,,,,,,,,,,1
dnf,SSP,UN,123 Ausup,Jeasada,,,,7,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,MM,148 Hijacker,Winday,,,,8,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,MM,103 Hongprasit,Natthaphon,,,,6,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,BUG,MM,026 Tultanajirasiri,Vithiwat,,,,2,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,UN,218 Akatchai,Pitakpon,,,,12,,0,1,Law Enforcement,97.41,6,,1,,,,19.62,19.62,,,,,,,,23.59,21.59,2,,,,,,,27.38,21.38,3,,1,,,,,,,,,,,,,1,,,,,,,,,1,26.82,25.82,1,,,,,,
dnf,SSP,SS,059 Wongsearaya,Yosawat,,,,3,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CDP,SS,095 Ukosakul,Chanakan,,,,5,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
